Q6GZX4 001R_FRG3G
B4LVS8 CARM1_DROVI
B4NKI9 CARM1_DROWI
B4PVH6 CARM1_DROYA
Q86X55 CARM1_HUMAN
Q9WVG6 CARM1_MOUSE
A2YPT7 CARM1_ORYSI
Q7XI75 CARM1_ORYSJ
Q4AE70 CARM1_RAT
Q5XK84 CARM1_XENLA
F1N9S8 CARME_CHICK
Q54ST2 CARME_DICDI
Q9I7X6 CARME_DROME
Q8N4J0 CARME_HUMAN
Q80UY1 CARME_MOUSE
Q5BJZ6 CARME_RAT
Q9Y7J3 CARME_SCHPO
P53934 CARME_YEAST
Q95VZ3 CARML_DICDI
D0C9N4 CARNT_ACIB2
O81831 CARP1_ARATH
D4ATH2 CARP1_ARTBC
P0CY27 CARP1_CANAL
C4YSF6 CARP1_CANAW
P0CY26 CARP1_CANAX
P32951 CARP1_CANPA
P10602 CARP1_RHINI
P0DJ06 CARP2_CANAL
C4YMJ3 CARP2_CANAW
P0CS83 CARP2_CANAX
P32950 CARP2_CANPA
P43231 CARP2_RHINI
P0CY29 CARP3_CANAL
C4YNQ5 CARP3_CANAW
P0CY28 CARP3_CANAX
Q03699 CARP3_RHINI
Q5A8N2 CARP4_CANAL
P43093 CARP4_CANAW
Q03700 CARP4_RHINI
P43094 CARP5_CANAL
P43232 CARP5_RHINI
Q5AC08 CARP6_CANAL
P43095 CARP6_CANAX
Q59VH7 CARP7_CANAL
P43096 CARP7_CANAX
Q5AEM6 CARP8_CANAL
O42778 CARP8_CANAX
Q59SU1 CARP9_CANAL
O42779 CARP9_CANAX
P10977 CARPV_CANAX
D4B385 CARP_ARTBC
C5FS55 CARP_ARTOC
O42630 CARP_ASPFU
Q00663 CARP_CANTR
P11838 CARP_CRYPA
P17576 CARP_IRPLA
P10420 CARP_MYTED
Q01294 CARP_NEUCR
O13340 CARP_PODAS
P06026 CARP_RHICH
P00799 CARP_RHIMI
P09177 CARP_RHIPU
P22929 CARP_SACFI
P81214 CARP_SYNRA
D4DEN7 CARP_TRIVH
P07267 CARP_YEAST
Q06909 CARQ_MYXXA
Q06910 CARR_MYXXA
Q46751 CARR_PECCC
Q8SA63 CARS_ARTAN
Q06911 CARS_MYXXA
F8UL81 CARS_TANPA
Q58CW6 CARTF_BOVIN
Q8N187 CARTF_HUMAN
Q8VHI4 CARTF_MOUSE
D4A7U2 CARTF_RAT
Q68RJ9 CART_BOVIN
Q9VIK2 CART_DROME
Q16568 CART_HUMAN
P56388 CART_MOUSE
Q9BDP9 CART_PIG
P49192 CART_RAT
Q9K8V6 CARX_BACHD
P36838 CARX_BACSU
P54324 CARX_GEOSE
O08317 CARX_LACPL
Q9K8V7 CARY_BACHD
P18185 CARY_BACSU
Q9ZB63 CARY_GEOSE
Q9RLS9 CARY_LACPL
B0R9Z1 CAR_HALS3
B2HN69 CAR_MYCMM
Q6RKB1 CAR_NOCIO
E6LHV7 CAS10_ENTI1
Q59066 CAS10_METJA
P71629 CAS10_MYCTU
A0A0A7HFE1 CAS10_STRTR
B6YWB8 CAS10_THEON
Q53W19 CAS10_THET8
O28401 CAS1A_ARCFU
Q8KDC4 CAS1A_CHLTE
A0Q5Y4 CAS1A_FRATN
Q2FL78 CAS1A_METHJ
D3E288 CAS1A_METRM
Q2RL66 CAS1A_MOOTA
Q8ZZU1 CAS1A_PYRAE
Q2RY21 CAS1A_RHORT
Q97YC1 CAS1A_SACS2
Q53W21 CAS1A_THET8
B5YJS2 CAS1A_THEYD
P55865 CAS1A_XENLA
O30236 CAS1B_ARCFU
Q8KB21 CAS1B_CHLTE
Q2FPW6 CAS1B_METHJ
D3E3B3 CAS1B_METRM
Q2RHR1 CAS1B_MOOTA
Q8ZZL8 CAS1B_PYRAE
Q2RW61 CAS1B_RHORT
Q97Y84 CAS1B_SACS2
Q53WG8 CAS1B_THET8
B5YL10 CAS1B_THEYD
P55867 CAS1B_XENLA
Q2FNT7 CAS1C_METHJ
D3E4V4 CAS1C_METRM
Q2RV90 CAS1C_RHORT
Q53VV5 CAS1C_THET8
B5YIU9 CAS1C_THEYD
Q2FQQ2 CAS1D_METHJ
O66692 CAS1_AQUAE
P38605 CAS1_ARATH
Q8W3Z4 CAS1_BETPL
Q0SUG8 CAS1_CLOPS
F7V5D5 CAS1_CLOSS
P15471 CAS1_CONST
P0CM57 CAS1_CRYNB
Q8X226 CAS1_CRYNH
P0CM56 CAS1_CRYNJ
Q6BE25 CAS1_CUCPE
Q55D85 CAS1_DICDI
Q46896 CAS1_ECOLI
Q8RED1 CAS1_FUSNN
Q74DC4 CAS1_GEOSL
Q9SXV6 CAS1_GLYGL
D4GQP0 CAS1_HALVD
A2BKJ8 CAS1_HYPBU
B1L400 CAS1_KORCO
Q8F874 CAS1_LEPIN
Q9SLP9 CAS1_LUFAE
Q1KLZ2 CAS1_MALDO
Q57823 CAS1_METJA
Q8TVS6 CAS1_METKA
O27156 CAS1_METTH
P9WPJ4 CAS1_MYCTO
P9WPJ5 CAS1_MYCTU
Q74N45 CAS1_NANEQ
C9X1G6 CAS1_NEIM8
O82139 CAS1_PANGI
Q6D0X0 CAS1_PECAS
Q02ML7 CAS1_PSEAB
O58938 CAS1_PYRHO
Q2XPU6 CAS1_RICCO
Q76MX2 CAS1_SOLTU
Q05581 CAS1_STRCL
G3ECR2 CAS1_STRTR
Q5JGA9 CAS1_THEKO
Q9X2B7 CAS1_THEMA
A1RZT8 CAS1_THEPD
O28403 CAS2A_ARCFU
A9WEP1 CAS2A_CHLAA
A0Q5Y5 CAS2A_FRATN
Q2FL79 CAS2A_METHJ
Q82XY2 CAS2A_NITEU
Q8ZZU2 CAS2A_PYRAE
Q2RY12 CAS2A_RHORT
Q97YC2 CAS2A_SACS2
Q6ZEI1 CAS2A_SYNY3
Q745W0 CAS2A_THET2
B5YJS1 CAS2A_THEYD
O30237 CAS2B_ARCFU
A9WFZ7 CAS2B_CHLAA
Q2FQQ4 CAS2B_METHJ
Q2RHR2 CAS2B_MOOTA
Q82XY0 CAS2B_NITEU
Q8ZZL9 CAS2B_PYRAE
Q2RX88 CAS2B_RHORT
Q97Y85 CAS2B_SACS2
Q6ZEC6 CAS2B_SYNY3
Q746F4 CAS2B_THET2
B5YJS4 CAS2B_THEYD
A9WJV5 CAS2C_CHLAA
Q82W51 CAS2C_NITEU
Q2RW60 CAS2C_RHORT
Q6ZEA5 CAS2C_SYNY3
B5YIU7 CAS2C_THEYD
Q2RV91 CAS2D_RHORT
F0Q2T3 CAS2_ACIAP
B9M9X6 CAS2_ACIET
Q05E21 CAS2_AERPE
D3RW30 CAS2_ALLVD
Q9KFX8 CAS2_BACHD
Q8W3Z3 CAS2_BETPL
Q0P899 CAS2_CAMJE
F9YQP0 CAS2_CAPCC
Q8KDC5 CAS2_CHLTE
P28879 CAS2_CONST
B1I4M2 CAS2_DESAP
Q72WF4 CAS2_DESVH
B8DZH3 CAS2_DICTD
P45956 CAS2_ECOLI
D6GRK6 CAS2_FILAD
A6GZS1 CAS2_FLAPJ
Q0RE94 CAS2_FRAAA
Q8RED2 CAS2_FUSNN
Q74H35 CAS2_GEOSL
D4GQP1 CAS2_HALVD
A2BKJ6 CAS2_HYPBU
B1L402 CAS2_KORCO
C7TEQ4 CAS2_LACRG
Q1WVJ7 CAS2_LACS1
Q8F1F4 CAS2_LEPIN
Q1KLZ1 CAS2_MALDO
Q8TJV8 CAS2_METAC
B7KNJ8 CAS2_METC4
C7CFQ2 CAS2_METED
Q57831 CAS2_METJA
Q8TVS8 CAS2_METKA
D3E4V5 CAS2_METRM
O27155 CAS2_METTH
P9WPJ2 CAS2_MYCTO
P9WPJ3 CAS2_MYCTU
Q1CW51 CAS2_MYXXD
Q74N46 CAS2_NANEQ
C9X1G7 CAS2_NEIM8
A7HP87 CAS2_PARL1
Q8U1T8 CAS2_PYRFU
Q9FS29 CAS2_SOLTU
Q05582 CAS2_STRCL
F5WVJ2 CAS2_STRG1
C6SPT0 CAS2_STRMN
Q8DTE5 CAS2_STRMU
G3ECR3 CAS2_STRTR
Q5JD44 CAS2_THEKO
Q9X2B6 CAS2_THEMA
A1RZT9 CAS2_THEPD
Q53VV6 CAS2_THET8
Q73QW4 CAS2_TREDE
P38036 CAS3_ECOLI
D4GQN8 CAS3_HALVD
Q57821 CAS3_METJA
O27158 CAS3_METTH
Q1CW46 CAS3_MYXXD
Q6D0W9 CAS3_PECAS
Q02ML8 CAS3_PSEAB
F2XG53 CAS3_STRTR
Q53VY2 CAS3_THET8
Q9YCL9 CAS4_AERPE
P18503 CAS4_EPHMU
A0Q5Y6 CAS4_FRATN
D4GQN9 CAS4_HALVD
Q57822 CAS4_METJA
A3MTK6 CAS4_PYRCJ
Q2RRV2 CAS4_RHORT
Q97TX9 CAS4_SACS2
G4RJY5 CAS4_THETK
Q97Y92 CAS5A_SACS2
Q97YC6 CAS5B_SACS2
Q97WW2 CAS5C_SACS2
Q65TW5 CAS5D_MANSM
Q746C2 CAS5D_THET2
O30169 CAS5_ARCFU
Q5AMH6 CAS5_CANAL
Q46898 CAS5_ECOLI
D4GQN7 CAS5_HALVD
Q57827 CAS5_METJA
G4RJZ2 CAS5_THETK
Q57820 CAS6A_METJA
Q97Y96 CAS6A_SACS2
Q58631 CAS6B_METJA
Q97WV8 CAS6B_SACS2
Q8U3R3 CAS6L_PYRFU
O58088 CAS6L_PYRHO
Q46897 CAS6_ECOLI
Q1RE32 CAS6_ECOUT
I3RB26 CAS6_HALMT
D4GQN4 CAS6_HALVD
P9WPJ0 CAS6_MYCTO
P9WPJ1 CAS6_MYCTU
Q1CW45 CAS6_MYXXD
Q6D0W5 CAS6_PECAS
Q02MM2 CAS6_PSEAB
Q8U1S4 CAS6_PYRFU
O58931 CAS6_PYRHO
A0A0A7HF73 CAS6_STRTR
Q53WG9 CAS6_THET8
D4GQN6 CAS7_HALVD
Q57826 CAS7_METJA
G4RJZ1 CAS7_THETK
Q57830 CAS8A_METJA
D4GQN5 CAS8B_HALVD
G4RJZ5 CAS8_THETK
Q03LF7 CAS9A_STRTD
Q03JI6 CAS9B_STRTD
J3F2B0 CAS9_ACTNH
Q0P897 CAS9_CAMJE
Q6NKI3 CAS9_CORDI
A0Q5Y3 CAS9_FRATN
Q927P4 CAS9_LISIN
C9X1G5 CAS9_NEIM8
A1IQ68 CAS9_NEIMA
Q9CLT2 CAS9_PASMU
J7RUA5 CAS9_STAAU
Q8DTE3 CAS9_STRMU
Q99ZW2 CAS9_STRP1
G3ECR1 CAS9_STRTR
P02662 CASA1_BOVIN
O62823 CASA1_BUBBU
O97943 CASA1_CAMDR
P18626 CASA1_CAPHI
P04656 CASA1_CAVPO
P86272 CASA1_EQUAS
P47710 CASA1_HUMAN
P28549 CASA1_MACEU
Q2RL67 CASA1_MOOTA
P19228 CASA1_MOUSE
P39035 CASA1_PIG
P09115 CASA1_RABIT
P02661 CASA1_RAT
P04653 CASA1_SHEEP
P02663 CASA2_BOVIN
O97944 CASA2_CAMDR
P33049 CASA2_CAPHI
P04655 CASA2_CAVPO
B7VGF9 CASA2_EQUAS
P39036 CASA2_PIG
P50419 CASA2_RABIT
P04654 CASA2_SHEEP
P02666 CASB_BOVIN
Q9TSI0 CASB_BUBBU
Q9TVD0 CASB_CAMDR
P33048 CASB_CAPHI
P86273 CASB_EQUAS
Q9GKK3 CASB_HORSE
P05814 CASB_HUMAN
Q48409 CASB_KLEOX
P28550 CASB_MACEU
P10598 CASB_MOUSE
P39037 CASB_PIG
P09116 CASB_RABIT
P02665 CASB_RAT
P11839 CASB_SHEEP
Q9XSE4 CASB_TRIVU
Q29RU8 CASC1_BOVIN
A6H8T2 CASC1_DANRE
Q6TDU7 CASC1_HUMAN
Q4R796 CASC1_MACFA
Q6TDU8 CASC1_MOUSE
Q8IU53 CASC2_HUMAN
A5D7H5 CASC3_BOVIN
Q1ECZ4 CASC3_DANRE
O15234 CASC3_HUMAN
Q8K3W3 CASC3_MOUSE
Q8K3X0 CASC3_RAT
A0JMU8 CASC3_XENLA
Q5CZI8 CASC3_XENTR
A2VE10 CASC4_BOVIN
Q5ZKQ5 CASC4_CHICK
Q6P4E1 CASC4_HUMAN
Q6P2L7 CASC4_MOUSE
Q5R5X4 CASC4_PONAB
Q32N32 CASC4_XENLA
Q46899 CASC_ECOLI
Q1LW89 CASD1_DANRE
Q96PB1 CASD1_HUMAN
Q7TN73 CASD1_MOUSE
P0CU47 CASH5_HYPDU
Q27952 CASK_BALPH
P42155 CASK_BISBO
P02668 CASK_BOVIN
P11840 CASK_BUBBU
P79139 CASK_CAMDR
Q95146 CASK_CAPCA
P42156 CASK_CAPCR
P02670 CASK_CAPHI
P50420 CASK_CAPSU
P50421 CASK_CAPSW
P19442 CASK_CAVPO
Q95149 CASK_CEREL
P42157 CASK_CERNI
Q95184 CASK_ELADA
Q28400 CASK_EQUGR
Q28417 CASK_GIRCA
Q28441 CASK_HIPAM
P82187 CASK_HORSE
P07498 CASK_HUMAN
Q28451 CASK_LAMGU
Q95191 CASK_MAZAM
P06796 CASK_MOUSE
Q95199 CASK_MUNRE
P50422 CASK_NEMGO
Q95225 CASK_ODOHE
Q95228 CASK_ODOVI
P50423 CASK_OREAM
Q95224 CASK_OVIDA
Q95227 CASK_OVIMO
Q29150 CASK_PANUN
Q28794 CASK_PECTA
P11841 CASK_PIG
P33618 CASK_RABIT
Q95239 CASK_RANTA
P04468 CASK_RAT
Q95147 CASK_RUCDU
P50424 CASK_RUPRU
Q95177 CASK_RUSUN
P50425 CASK_SAITA
P02669 CASK_SHEEP
Q29135 CASK_TAPIN
Q29137 CASK_TRAJA
A6P6W0 CASL1_CANSA
A6P6W1 CASL2_CANSA
Q14511 CASL_HUMAN
O35177 CASL_MOUSE
D7LIN7 CASP1_ARALL
Q9SIH4 CASP1_ARATH
P0DI38 CASP1_BRADI
Q9MZV7 CASP1_CANLF
P0DI61 CASP1_CUCME
P0DI62 CASP1_CYNCS
O02002 CASP1_DROME
P0DI52 CASP1_ERYGU
Q9MZV6 CASP1_FELCA
P0DI60 CASP1_HELAN
Q9TV13 CASP1_HORSE
P29466 CASP1_HUMAN
P0DI59 CASP1_LACSA
P0DI35 CASP1_LACSI
P0DKC2 CASP1_LOTJA
B6T959 CASP1_MAIZE
P0DI54 CASP1_MALDO
G7KGQ4 CASP1_MEDTR
P29452 CASP1_MOUSE
F2QA93 CASP1_ORYRU
B8ART0 CASP1_ORYSI
Q7XPU9 CASP1_ORYSJ
P0DI33 CASP1_PANVG
P0DH81 CASP1_PICGL
Q9N2I1 CASP1_PIG
P0DH80 CASP1_PINTA
B9HBX2 CASP1_POPTR
P0DI49 CASP1_RAPRA
P0DI45 CASP1_RAPSA
P43527 CASP1_RAT
B9SX12 CASP1_RICCO
Q60D27 CASP1_SOLDE
P0DI44 CASP1_SOLTU
C5YAP3 CASP1_SORBI
C6T2E7 CASP1_SOYBN
P89116 CASP1_SPOFR
Q1W3A5 CASP1_STRAF
P0DI63 CASP1_STRHE
P0DI32 CASP1_TARKO
P0DI43 CASP1_THECC
P0DI50 CASP1_TOBAC
P0DI31 CASP1_TRIPD
P0DI40 CASP1_VIGUN
A7PP95 CASP1_VITVI
E6Y2A0 CASP1_WHEAT
D7LAP2 CASP2_ARALL
Q9CAX3 CASP2_ARATH
P0DI37 CASP2_BRADI
Q98943 CASP2_CHICK
P0DI51 CASP2_ERYGU
P42575 CASP2_HUMAN
B6U045 CASP2_MAIZE
G7JG80 CASP2_MEDTR
P29594 CASP2_MOUSE
A2YQB8 CASP2_ORYSI
Q6Z1Y7 CASP2_ORYSJ
P0DI34 CASP2_PANVG
B9IIR5 CASP2_POPTR
P0DI46 CASP2_RAPSA
P55215 CASP2_RAT
B9SX13 CASP2_RICCO
Q5NRN4 CASP2_SOLDE
C5YLC9 CASP2_SORBI
C6TFL9 CASP2_SOYBN
P0DI30 CASP2_TRIPD
P0DI39 CASP2_VIGUN
A7QF77 CASP2_VITVI
P0DI42 CASP2_WHEAT
D7LGW9 CASP3_ARALL
Q9ZQI2 CASP3_ARATH
Q08DY9 CASP3_BOVIN
P0DI36 CASP3_BRADI
Q8MKI5 CASP3_CANLF
P0DI53 CASP3_ERYGU
Q8MJU1 CASP3_FELCA
P42574 CASP3_HUMAN
P0DI56 CASP3_LOTJA
Q2PFV2 CASP3_MACFA
G7L218 CASP3_MEDTR
Q60431 CASP3_MESAU
P70677 CASP3_MOUSE
A2YAZ1 CASP3_ORYSI
Q67X40 CASP3_ORYSJ
Q5IS54 CASP3_PANTR
Q95ND5 CASP3_PIG
B9IIR4 CASP3_POPTR
Q8MJC3 CASP3_RABIT
P0DI47 CASP3_RAPSA
P55213 CASP3_RAT
B9SCX0 CASP3_RICCO
Q5IS99 CASP3_SAIBB
C5Z7E3 CASP3_SORBI
C6T1K6 CASP3_SOYBN
P0DI41 CASP3_VIGUN
A7PMY7 CASP3_VITVI
P55866 CASP3_XENLA
D7LZ50 CASP4_ARALL
Q9FFZ7 CASP4_ARATH
Q5E9C1 CASP4_BOVIN
P49662 CASP4_HUMAN
P0DI55 CASP4_LOTJA
G7IHF9 CASP4_MEDTR
P70343 CASP4_MOUSE
Q6Z2U5 CASP4_ORYSJ
B9HQ42 CASP4_POPTR
P0DI48 CASP4_RAPSA
B9S8Z3 CASP4_RICCO
C5Y9U6 CASP4_SORBI
C6TH93 CASP4_SOYBN
D7M7B3 CASP5_ARALL
Q9LXF3 CASP5_ARATH
P51878 CASP5_HUMAN
P0DI57 CASP5_LOTJA
B8AEC9 CASP5_ORYSI
Q7XUV7 CASP5_ORYSJ
B9HI87 CASP5_POPTR
B9T4E6 CASP5_RICCO
C6T4E0 CASP5_SOYBN
D7KBH3 CASP6_ARALL
Q3T0P5 CASP6_BOVIN
P55212 CASP6_HUMAN
O08738 CASP6_MOUSE
A2XU91 CASP6_ORYSI
B9I534 CASP6_POPTR
O35397 CASP6_RAT
C6T4A0 CASP6_SOYBN
P55210 CASP7_HUMAN
P55214 CASP7_MESAU
P97864 CASP7_MOUSE
Q6EP58 CASP7_ORYSJ
C6T1G0 CASP7_SOYBN
Q8IRY7 CASP8_DROME
Q29IM7 CASP8_DROPS
Q14790 CASP8_HUMAN
O89110 CASP8_MOUSE
Q9JHX4 CASP8_RAT
P55211 CASP9_HUMAN
Q8C3Q9 CASP9_MOUSE
Q9I9L7 CASPA_DANRE
Q92851 CASPA_HUMAN
Q504J1 CASPB_DANRE
Q075B4 CASPC_CANLF
Q6UXS9 CASPC_HUMAN
Q153Z0 CASPC_MACMU
O08736 CASPC_MOUSE
Q920D5 CASPC_RAT
O75601 CASPD_BOVIN
P85309 CASPD_HPVKA
P31944 CASPE_HUMAN
O89094 CASPE_MOUSE
Q9LS42 CASP_ARATH
Q8IA98 CASP_CAEEL
Q13948 CASP_HUMAN
P15156 CASP_MESAU
P70403 CASP_MOUSE
Q5R8V1 CASP_PONAB
O59795 CASP_SCHPO
Q5K5C1 CASP_SFAVA
P34237 CASP_YEAST
P31236 CASQ1_CANLF
P31415 CASQ1_HUMAN
O09165 CASQ1_MOUSE
P31231 CASQ1_PELES
P07221 CASQ1_RABIT
P19633 CASQ1_RAT
P12637 CASQ2_CANLF
P19204 CASQ2_CHICK
O14958 CASQ2_HUMAN
O09161 CASQ2_MOUSE
O18934 CASQ2_PIG
Q5RAN9 CASQ2_PONAB
P31235 CASQ2_RABIT
P51868 CASQ2_RAT
P35384 CASR_BOVIN
P41180 CASR_HUMAN
Q9QY96 CASR_MOUSE
O62714 CASR_PIG
P48442 CASR_RAT
Q9NQ75 CASS4_HUMAN
Q08EC4 CASS4_MOUSE
A5GFW5 CASS4_PIG
P84902 CASSI_CORCC
E2IUB0 CASS_KALDA
P59287 CASS_RICCO
Q0V8A3 CAST1_BOVIN
Q8WTX7 CAST1_HUMAN
Q9CWQ8 CAST1_MOUSE
Q5R9D1 CAST1_PONAB
Q5BJZ0 CAST1_RAT
A6NHX0 CAST2_HUMAN
Q8CAB8 CAST2_MOUSE
Q6DDW7 CAST2_XENLA
Q63ZZ8 CAST2_XENTR
Q8NAP1 CAST3_HUMAN
Q5H8A6 CASTO_LOTJA
Q75LD5 CASTO_ORYSJ
Q09011 CAST_SOLTU
Q86V15 CASZ1_HUMAN
Q9CWL2 CASZ1_MOUSE
H8ZM73 CAS_ABIBA
Q9FN48 CAS_ARATH
Q7M3M8 CAS_DROME
B6TVL4 CAS_MAIZE
Q6Z2X6 CAS_ORYSJ
P38946 CAT1_CLOK5
P26825 CAT1_CLOPF
P83657 CAT1_COMTR
Q9C168 CAT1_NEUCR
P81138 CAT1_PENJA
Q9URZ4 CAT1_SCHPO
P00485 CAT1_STAAU
P38942 CAT2_CLOK5
P26826 CAT2_CLOPF
P22615 CAT2_ECOLX
P22616 CAT2_HAEIF
P00486 CAT2_STAAU
P00484 CAT3_ECOLX
Q9C169 CAT3_NEUCR
P06135 CAT3_STAAU
P23364 CAT4_AGRFC
P26838 CAT4_ECOLX
P50868 CAT4_KLEAE
P50869 CAT4_MORMO
P26841 CAT4_PSEAE
P36882 CAT4_STAAU
P36883 CAT5_STAAU
Q91ZF2 CAT7_MOUSE
D3ZZ07 CAT7_RAT
Q9JI81 CAT8_MOUSE
P39113 CAT8_YEAST
O33948 CATA1_ACILW
Q96528 CATA1_ARATH
Q27487 CATA1_CAEEL
P48350 CATA1_CUCPE
P17598 CATA1_GOSHI
P55307 CATA1_HORVU
P18122 CATA1_MAIZE
P49315 CATA1_NICPL
P0C549 CATA1_ORYSI
Q0E4K1 CATA1_ORYSJ
Q01297 CATA1_RICCO
P30264 CATA1_SOLLC
P49284 CATA1_SOLTU
P29756 CATA1_SOYBN
P49319 CATA1_TOBAC
Q43206 CATA1_WHEAT
O33950 CATA2_ACILW
P25819 CATA2_ARATH
O61235 CATA2_CAEEL
P48351 CATA2_CUCPE
P30567 CATA2_GOSHI
P55308 CATA2_HORVU
P12365 CATA2_MAIZE
P49316 CATA2_NICPL
A2YH64 CATA2_ORYSI
Q0D9C4 CATA2_ORYSJ
P49318 CATA2_RICCO
Q9XHH3 CATA2_SOLLC
P55312 CATA2_SOLTU
P55313 CATA2_WHEAT
Q42547 CATA3_ARATH
P48352 CATA3_CUCPE
P18123 CATA3_MAIZE
P49317 CATA3_NICPL
B8AME2 CATA3_ORYSI
Q10S82 CATA3_ORYSJ
O48560 CATA3_SOYBN
O48561 CATA4_SOYBN
P07773 CATA_ACIAD
P83715 CATA_ACICA
Q43984 CATA_ACIGI
P81422 CATA_ACIRA
O68146 CATA_ALIF1
P90682 CATA_ASCSU
P78574 CATA_ASPFU
Q9AXH0 CATA_AVIMR
P45737 CATA_BACFR
P26901 CATA_BACSU
Q8X1P0 CATA_BLUGH
P0A324 CATA_BORBR
P0A325 CATA_BORPA
P0A323 CATA_BORPE
P55304 CATA_BOTFU
P00432 CATA_BOVIN
P0A327 CATA_BRUAB
P0A326 CATA_BRUME
Q8FWU0 CATA_BRUSU
Q2I6W4 CATA_CALJA
Q59296 CATA_CAMJE
O13289 CATA_CANAL
Q96VB8 CATA_CANBO
O97492 CATA_CANLF
P07820 CATA_CANTR
Q9M5L6 CATA_CAPAN
Q64405 CATA_CAVPO
Q9PT92 CATA_DANRE
Q59337 CATA_DEIRA
Q9ZN99 CATA_DESVM
O77229 CATA_DICDI
P17336 CATA_DROME
P55305 CATA_EMENI
P44390 CATA_HAEIN
P45739 CATA_HELAN
Q9ZKX5 CATA_HELPJ
P77872 CATA_HELPY
P04040 CATA_HUMAN
P07145 CATA_IPOBA
P30265 CATA_LACSK
Q926X0 CATA_LISIN
Q8Y3P9 CATA_LISMO
P24168 CATA_LISSE
O93662 CATA_METBF
P29422 CATA_MICLU
P24270 CATA_MOUSE
Q59602 CATA_NEIGO
Q27710 CATA_ONCVE
P25890 CATA_PEA
P11934 CATA_PENJA
P30263 CATA_PICAN
O62839 CATA_PIG
Q5RF10 CATA_PONAB
P42321 CATA_PROMI
O52762 CATA_PSEAE
Q59714 CATA_PSEPU
P04762 CATA_RAT
P95631 CATA_RHIME
P95607 CATA_RHOOP
Q53034 CATA_RHORH
Q9PWF7 CATA_RUGRU
P55306 CATA_SCHPO
P55310 CATA_SECCE
O24339 CATA_SOLAP
P55311 CATA_SOLME
Q2FH99 CATA_STAA3
Q2FYU7 CATA_STAA8
Q2YXT2 CATA_STAAB
Q5HG86 CATA_STAAC
Q99UE2 CATA_STAAM
Q7A5T2 CATA_STAAN
Q6GH72 CATA_STAAR
Q6G9M4 CATA_STAAS
Q9L4S1 CATA_STAAU
Q8NWV5 CATA_STAAW
Q2PUJ9 CATA_STAEP
Q5HPK8 CATA_STAEQ
Q8CPD0 CATA_STAES
Q4L643 CATA_STAHJ
Q49XC1 CATA_STAS1
Q9KW19 CATA_STAWA
Q9EV50 CATA_STAXY
Q9Z598 CATA_STRCO
Q9XZD5 CATA_TOXGO
Q9KRQ1 CATA_VIBCH
Q87JE8 CATA_VIBPA
Q8D452 CATA_VIBVU
Q7MFM6 CATA_VIBVY
P32290 CATA_VIGRR
P15202 CATA_YEAST
O33946 CATB1_ACILW
F4HVZ1 CATB1_ARATH
P92131 CATB1_GIAIN
O33949 CATB2_ACILW
Q93VC9 CATB2_ARATH
P92132 CATB2_GIAIN
Q94K85 CATB3_ARATH
P92133 CATB3_GIAIN
Q43931 CATB_ACIAD
Q9Y7C2 CATB_AJECA
Q92405 CATB_ASPFU
Q877A8 CATB_ASPOR
P07688 CATB_BOVIN
P43233 CATB_CHICK
P81494 CATB_COTJA
Q55DH8 CATB_DICDI
P78619 CATB_EMENI
P07858 CATB_HUMAN
Q4R5M2 CATB_MACFA
P10605 CATB_MOUSE
A1E295 CATB_PIG
Q5R6D1 CATB_PONAB
Q59635 CATB_PSEAE
P08310 CATB_PSEPU
P46206 CATB_PSESY
P00787 CATB_RAT
P95608 CATB_RHOOP
P83205 CATB_SHEEP
Q9L4S2 CATB_STAAA
Q66V81 CATB_STAXY
O33947 CATC1_ACILW
O33951 CATC2_ACILW
Q43932 CATC_ACIAD
Q3ZCJ8 CATC_BOVIN
O97578 CATC_CANLF
P80573 CATC_CUPPJ
P53634 CATC_HUMAN
Q60HG6 CATC_MACFA
P97821 CATC_MOUSE
Q8IIJ9 CATC_PLAF7
Q5RB02 CATC_PONAB
Q9I0X4 CATC_PSEAE
P00948 CATC_PSEPU
P80067 CATC_RAT
P95609 CATC_RHOOP
Q26563 CATC_SCHMA
P54720 CATD_BACSU
P80209 CATD_BOVIN
Q4LAL9 CATD_CANLF
Q05744 CATD_CHICK
O93428 CATD_CHIHA
Q9DEX3 CATD_CLUHA
O76856 CATD_DICDI
P07339 CATD_HUMAN
P18242 CATD_MOUSE
P00795 CATD_PIG
P24268 CATD_RAT
Q9MZS8 CATD_SHEEP
Q805F3 CATEA_XENLA
Q805F2 CATEB_XENLA
P30266 CATE_BACPE
P42234 CATE_BACSU
P25796 CATE_CAVPO
P21179 CATE_ECOLI
P14091 CATE_HUMAN
Q800A0 CATE_LITCT
P70269 CATE_MOUSE
P50979 CATE_MYCAV
Q9I1W8 CATE_PSEAE
P95539 CATE_PSEPU
P43159 CATE_RABIT
P16228 CATE_RAT
Q9X576 CATE_RHIME
Q43935 CATF_ACIAD
Q9UBX1 CATF_HUMAN
Q9R013 CATF_MOUSE
P08311 CATG_HUMAN
P28293 CATG_MOUSE
P17977 CATG_RAT
Q3T0I2 CATH_BOVIN
P09668 CATH_HUMAN
P49935 CATH_MOUSE
O46427 CATH_PIG
P00786 CATH_RAT
F4I2J8 CATIN_ARATH
G5EG14 CATIN_CAEEL
F1Q8W0 CATIN_DANRE
Q9VR99 CATIN_DROME
Q8WUQ7 CATIN_HUMAN
Q9CS00 CATIN_MOUSE
B6KG46 CATIN_TOXGV
